EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SV-min,'',28,51,79,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-637.364837,4.061067,0,0
SV-min,'',28,51,79,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-642.539755,-1.113851,0,0
SV-min,'',27,50,77,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-621.071636,-20.354268,0,0
SV-min,'',27,50,77,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-615.945568,-25.480336,0,0
SV-min,'',27,50,77,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-615.846936,-25.578968,0,0
SV-min,'',29,50,79,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-655.457175,-14.031271,0,0
SV-min,'',29,50,79,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-651.777716,-10.351812,0,0
SV-min,'',29,50,79,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-656.547045,-15.121141,0,0
SV-min,'',29,50,79,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-655.275732,-13.849828,0,0
SV-min,'',27,50,77,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-612.512257,-28.913647,0,0
SV-min,90Zr,40,50,90,Ground,Ground,Ground,"0, 0, 0, 0, 0",-782.407061,0,0,0
SV-min,'',40,49,89,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-767.382133,-15.024928,0,0
SV-min,'',40,51,91,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-789.660658,-7.253597,0,0
SV-min,'',40,51,91,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-786.52643,-4.119369,0,0
SV-min,'',40,51,91,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-787.823771,-5.41671,0,0
SV-min,'',40,49,89,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-762.150037,-20.257024,0,0
SV-min,'',40,51,91,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-787.37073,-4.963669,0,0
SV-min,'',40,49,89,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-767.812307,-14.594754,0,0
SV-min,'',40,49,89,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-770.85891,-11.548151,0,0
SV-min,'',40,51,91,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-784.580462,-2.173401,0,0
SV-min,'',40,49,89,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-766.086647,-16.320414,0,0
SV-min,'',39,50,89,proton,hole,2p_3_2,"3, -1, 3, 0, 1",-773.071869,-9.335192,0,unconstrained fixed
SV-min,'',41,50,91,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-788.122648,-5.715587,0,0
SV-min,'',41,50,91,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-779.006791,3.40027,0,0
SV-min,'',39,50,89,proton,hole,2p_1_2,"1, -1, 3, 0, 1",-774.568377,-7.838684,0,0
SV-min,'',41,50,91,proton,particle,2d_3_2,"3, 1, 4, 0, 2",-780.179208,2.227853,0,0
SV-min,'',39,50,89,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-767.439813,-14.967248,0,0
SV-min,'',41,50,91,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-781.17997,1.227091,0,0
SV-min,'',41,50,91,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-780.144734,2.262327,0,0
SV-min,'',41,50,91,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-782.279439,0.127622,0,0
SV-min,'',39,50,89,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-772.680822,-9.726239,0,0
SV-min,100Sn,50,50,100,Ground,Ground,Ground,"0, 0, 0, 0, 0",-824.512948,0,0,0
SV-min,'',50,49,99,neutron,hole,2p_1_2,"1, -1, 3, 0, 1",-805.61986,-18.893088,0,0
SV-min,'',50,51,101,neutron,particle,2d_3_2,"3, 1, 4, 0, 2",-833.626834,-9.113886,0,0
SV-min,'',50,49,99,neutron,hole,1g_9_2,"9, 1, 4, 0, 4",-808.050871,-16.462077,0,0
SV-min,'',50,49,99,neutron,hole,2p_3_2,"3, -1, 3, 0, 1",-804.159576,-20.353372,0,0
SV-min,'',50,51,101,neutron,particle,1h_11_2,"11, -1, 5, 0, 5",-831.696101,-7.183153,0,0
SV-min,'',50,51,101,neutron,particle,1g_7_2,"7, 1, 4, 0, 4",-833.789108,-9.27616,0,0
SV-min,'',50,51,101,neutron,particle,3s_1_2,"1, 1, 4, 0, 0",-833.473164,-8.960216,0,0
SV-min,'',50,49,99,neutron,hole,1f_5_2,"5, -1, 3, 0, 3",-804.327672,-20.185276,0,0
SV-min,'',50,51,101,neutron,particle,2d_5_2,"5, 1, 4, 0, 2",-835.749337,-11.236389,0,0
SV-min,'',50,49,99,neutron,hole,1f_7_2,"7, -1, 3, 0, 3",-799.606173,-24.906775,0,0
SV-min,'',51,50,101,proton,particle,1h_11_2,"11, -1, 5, 0, 5",-817.98548,6.527468,0,0
SV-min,'',49,50,99,proton,hole,1g_9_2,"9, 1, 4, 0, 4",-821.808301,-2.704647,0,0
SV-min,'',49,50,99,proton,hole,2p_3_2,"3, -1, 3, 0, 1",-818.303489,-6.209459,0,0
SV-min,'',49,50,99,proton,hole,2p_1_2,"1, -1, 3, 0, 1",-819.683103,-4.829845,0,0
SV-min,'',51,50,101,proton,particle,2d_3_2,"3, 1, 4, 0, 2",-819.98554,4.527408,0,0
SV-min,'',49,50,99,proton,hole,1f_7_2,"7, -1, 3, 0, 3",-813.584372,-10.928576,0,0
SV-min,'',51,50,101,proton,particle,3s_1_2,"1, 1, 4, 0, 0",-819.910098,4.60285,0,0
SV-min,'',51,50,101,proton,particle,1g_7_2,"7, 1, 4, 0, 4",-820.007712,4.505236,0,0
SV-min,'',49,50,99,proton,hole,1f_5_2,"5, -1, 3, 0, 3",-818.277917,-6.235031,0,0
SV-min,'',51,50,101,proton,particle,2d_5_2,"5, 1, 4, 0, 2",-821.829614,2.683334,0,0
SV-min,132Sn,50,82,132,Ground,Ground,Ground,"0, 0, 0, 0, 0",-1102.482126,0,0,0
SV-min,'',50,83,133,neutron,particle,2f_5_2,"5, -1, 5, 0, 3",-1102.826933,-0.344807,0,0
SV-min,'',50,83,133,neutron,particle,3p_3_2,"3, -1, 5, 0, 1",-1103.645233,-1.163107,0,0
SV-min,'',50,83,133,neutron,particle,1h_9_2,"9, -1, 5, 0, 5",-1102.243274,0.238852,0,0
SV-min,'',50,81,131,neutron,hole,2d_3_2,"3, 1, 4, 0, 2",-1094.05477,-8.427356,0,0
SV-min,'',50,83,133,neutron,particle,3p_1_2,"1, -1, 5, 0, 1",-1103.129083,-0.646957,0,0
SV-min,'',50,83,133,neutron,particle,2f_7_2,"7, -1, 5, 0, 3",-1105.091133,-2.609007,0,0
SV-min,'',50,81,131,neutron,hole,1g_7_2,"7, 1, 4, 0, 4",-1092.891148,-9.590978,0,0
SV-min,'',50,81,131,neutron,hole,3s_1_2,"1, 1, 4, 0, 0",-1093.722709,-8.759417,0,0
SV-min,'',50,81,131,neutron,hole,2d_5_2,"5, 1, 4, 0, 2",-1091.959992,-10.522134,0,0
