 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Ne       10     18     28          -216.306409              -17.318372               -3.434145            -0.000003            -0.000001              -0.000002              -0.000003                  -0.000003                     -0.000006                   1.442042                1.672681              2.899246             3.265280               3.139457               0.366034              3.015216         19.563846       35.321673        5.036044       6.339753          -9.097832            
   Ne       10     20     30          -220.683045              -19.321232               -2.460863            -0.000003            -0.000001              -0.000002              -0.000004                  -0.000003                     -0.000007                   1.375613                1.744838              2.940006             3.378750               3.239112               0.438745              3.035365         21.536552       39.318604        3.897078       4.376636         -11.398308            
   Ne       10     22     32          -224.245619              -21.769584               -2.167610             0.319217             0.233006               0.254553               0.366186                   0.802142                      1.168328                   1.375129                1.664817              3.015456             3.521888               3.371809               0.506433              3.108501         23.932444       44.104078        3.486115       3.562575         -14.581178            
   Ne       10     24     34           -227.20666              -23.701547               -1.544241             0.345887             0.259119               0.278932               0.406789                   1.029834                      1.436623                   1.349780                1.629223              3.053253             3.623040               3.465195               0.569787              3.145180         26.284562       48.846746        3.127541       2.961041         -18.765119            
   Ne       10     26     36          -228.604484              -25.223241               -0.941381             0.336019             0.246075               0.264823               0.400584                   1.114038                      1.514622                   1.288242                1.543998              3.074042             3.715131               3.548687               0.641090              3.165365         27.798256       51.946399        2.285523       1.397825         -21.944570            
   Ne       10     28     38          -228.875014              -26.353968               -0.517247             0.299774             0.200176               0.219099               0.359458                   1.023275                      1.382733                   1.231197                1.473094              3.082992             3.804140               3.628288               0.721148              3.174058         28.658794       53.736378        1.643811       0.270530         -23.916928            
   Ne       10     30     40           -228.67731              -27.173249               -0.316858             0.213922             0.109667               0.127710               0.256206                   0.627600                      0.883805                   1.194065                1.420804              3.081139             3.888543               3.703232               0.807405              3.153906         29.257675       54.981713        1.348097      -0.197704         -25.238674            
   Ne       10     32     42          -228.704638              -27.961682                0.108119            -0.000004            -0.000001              -0.000002              -0.000005                  -0.000008                     -0.000013                   1.154302                1.466970              3.080640             3.996355               3.798404               0.915716              3.153418         29.988517       56.485744        1.457551       0.027328         -26.709040            
   Ne       10     34     44           -227.15254              -28.670369                1.120614            -0.000004            -0.000001              -0.000001              -0.000004                  -0.000005                     -0.000009                   1.142697                1.491639              3.099366             4.140920               3.928527               1.041555              3.171714         30.732155       57.999857        0.703256      -1.552099         -26.633646            
   Ne       10     36     46          -222.047838              -29.087263                2.166972            -0.000003            -0.000001              -0.000001              -0.000003                  -0.000007                     -0.000010                   1.133559                0.962926              3.113489             4.347552               4.110913               1.234064              3.185517         30.917795       58.394620       -1.325069      -5.104702         -24.595156            
   Ne       10     38     48          -216.433247              -29.406117                2.334401            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000005                     -0.000007                   1.116891                0.982776              3.130117             4.530932               4.277098               1.400816              3.201771         31.164356       58.918794       -1.834445      -5.614592         -24.480028            
   Ne       10     40     50          -211.866669              -30.348394                2.194262             0.279801             0.176321               0.187244               0.360055                   1.922626                      2.282681                   1.106813                1.054401              3.193779             4.648469               4.396209               1.454691              3.246202         31.811858       60.237085       -1.264701      -4.566578         -26.052216            
   Ne       10     42     52          -207.179372              -31.098617                2.225080             0.327507             0.190770               0.204254               0.431787                   2.298912                      2.730699                   1.094997                1.091207              3.232731             4.768994               4.514345               1.536264              3.284532           No_Data         No_Data       -1.270845      -4.687298         -27.249787            
