Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
118    266    384    -0.729516           -2374.190155        -2373.460639        0.093776       0.039595       0.002344       0.037251       
118    268    386    -1.189157           -2374.538501        -2373.349344        0.112431       0.045801       0.030243       0.015558       
118    270    388    -1.270974           -2374.644249        -2373.373275        0.123457       0.052738       0.064576       -0.011838      
118    272    390    -0.363922           -2374.525603        -2374.161681        0.120417       0.092407       -0.337575      0.429982       
120    190    310    -0.630179           -2167.163846        -2166.533667        0.095443       0.047319       0.0            0.047319       
120    192    312    -0.556621           -2177.432493        -2176.875872        0.120686       0.061823       -0.195908      0.257731       
120    194    314    -0.257548           -2187.347906        -2187.090358        0.130987       0.073573       -0.203165      0.276738       
120    216    336    -0.000676           -2288.752532        -2288.751856        0.024397       0.242536       0.241083       0.001453       
120    264    384    -0.306714           -2398.473385        -2398.166671        0.07032        0.024116       0.00072        0.023396       
120    266    386    -0.934628           -2399.470501        -2398.535873        0.096289       0.036923       0.001397       0.035526       
120    268    388    -1.445828           -2400.257441        -2398.811613        0.110451       0.04721        0.003941       0.043269       
120    270    390    -1.529309           -2400.568431        -2399.039122        0.119558       0.04518        -0.037698      0.082878       
120    272    392    -0.65174            -2400.828582        -2400.176842        0.125322       0.0504         -0.274427      0.324827       
