Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
118    282    400    -2371.77614             0.288792       76.322925      0.0            1623      YES            
118    284    402    -2371.670893            0.283017       75.430259      0.0            1627      YES            
118    288    406    -2371.052441            0.238849       64.425588      0.0            1631      YES            
118    290    408    -2370.949342            0.230678       62.771487      0.0            1635      YES            
118    292    410    -2370.710869            0.227902       62.592663      0.0            1639      YES            
118    296    414    -2369.611387            0.225676       63.156123      0.0            1643      YES            
118    298    416    -2368.697479            0.225137       63.592274      0.0            1647      YES            
118    300    418    -2367.568516            0.224594       64.026305      0.0            1651      YES            
120    166    286    -2003.870907            -0.394859      -59.631392     0.0            232       YES            
120    188    308    -2153.926915            -0.3548        -59.874235     0.0            1654      YES            
120    190    310    -2165.449496            -0.359307      -61.448127     0.0            1658      YES            
120    192    312    -2176.740494            -0.364624      -63.204949     0.0            1662      YES            
120    194    314    -2187.80183             -0.370228      -65.044556     0.0            1666      YES            
120    196    316    -2198.642729            -0.374771      -66.704998     0.0            1670      YES            
120    200    320    -2219.91225             0.414591       74.998909      0.0            1675      YES            
120    208    328    -2254.281363            -0.389408      -74.62289      0.0            1678      YES            
120    210    330    -2262.473353            -0.392816      -76.229182     0.0            1682      YES            
120    262    382    -2387.577562            -0.376163      -94.767568     0.0            1686      YES            
120    264    384    -2389.431907            -0.374394      -95.20602      0.0            1690      YES            
120    266    386    -2391.057498            -0.370078      -94.910458     0.0            1694      YES            
120    268    388    -2392.481756            -0.366043      -94.674696     0.0            1698      YES            
120    270    390    -2394.654183            0.39246        101.147038     0.0            1703      YES            
120    272    392    -2396.05536             0.330163       84.746542      0.0            1707      YES            
120    274    394    -2397.233086            0.321065       83.017791      0.0            1711      YES            
120    282    402    -2400.299923            0.288942       76.8689        0.0            1715      YES            
120    284    404    -2400.604435            0.283646       76.093028      0.0            1719      YES            
120    286    406    -2400.694727            0.276677       74.827995      0.0            1723      YES            
120    288    408    -2400.577284            0.258631       70.360407      0.0            1727      YES            
120    290    410    -2400.65641             0.233746       63.927066      0.0            1731      YES            
120    298    418    -2399.926522            0.220482       62.520914      0.0            1735      YES            
