  Z      N    UNEDF0    UNEDF1    UNEDF2    SV_MIN      SLY4      SKMS       SKP     Total
106    186         0         1         1         1         1         1         0         5
106    188         1         1         1         1         1         1         0         6
106    190         1         1         1         0         1         1         0         5
106    192         0         0         1         0         1         1         0         3
106    198         0         0         0         1         0         1         0         2
106    200         0         0         0         1         0         0         1         2
106    202         0         0         0         0         0         0         1         1
106    212         0         0         1         0         0         0         0         1
106    214         0         0         1         0         0         0         0         1
106    216         0         0         1         0         0         0         0         1
106    230         0         0         0         0         0         0         1         1
106    234         0         0         1         0         0         0         0         1
106    236         0         0         1         0         0         0         1         2
106    238         0         0         0         0         0         1         1         2
106    242         0         0         0         0         0         0         1         1
106    250         0         0         0         0         0         1         0         1
106    254         0         0         0         0         0         1         0         1
106    256         0         0         0         0         0         1         0         1
106    258         0         0         0         0         1         1         0         2
106    260         0         1         1         0         1         1         0         4
106    262         0         1         1         1         1         1         0         5
106    264         0         1         1         1         1         1         0         5
108    148         0         0         0         0         0         0         1         1
108    154         0         0         0         0         0         1         0         1
108    156         0         0         0         0         0         1         0         1
108    158         0         0         0         1         0         1         0         2
108    164         0         0         0         1         0         1         0         2
108    166         0         0         0         0         0         1         0         1
108    168         0         0         0         0         0         1         0         1
108    170         0         0         0         1         0         1         0         2
108    172         0         0         0         0         0         1         0         1
108    180         0         0         0         0         0         1         0         1
108    182         0         0         0         0         0         1         0         1
108    184         0         0         0         0         0         1         0         1
108    186         0         1         1         0         1         1         0         4
