Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
112    266    378    0.162606            -2223.116835        -2222.954229        0.061624       0.009999       -0.31833       NO
112    268    380    0.562381            -2221.018098        -2220.455717        -0.222405      0.01           -0.594382      YES
112    270    382    0.74227             -2219.105562        -2218.363292        -0.22931       0.01           -0.59279       NO
112    272    384    0.79135             -2217.071624        -2216.280274        -0.234838      0.01           -0.592006      YES
112    274    386    1.207241            -2219.375367        -2218.168126        0.315336       0.01           -0.043547      YES
112    276    388    1.370038            -2217.391757        -2216.021719        0.31151        0.01           -0.04018       YES
112    284    396    0.254308            -2206.545141        -2206.290833        0.194059       0.01           -0.044191      YES
112    286    398    0.390867            -2204.185927        -2203.79506         0.19717        0.01           -0.043924      YES
114    160    274    0.13742             -1949.029928        -1948.892508        0.211624       0.01           -0.013393      YES
114    162    276    0.170336            -1965.523929        -1965.353593        0.208487       0.01           -0.011945      YES
114    190    304    0.053193            -2124.284243        -2124.23105         0.057573       0.01           -0.366906      YES
114    192    306    0.784526            -2135.216945        -2134.432419        0.374457       0.01           -0.0384        YES
114    194    308    0.174823            -2139.946396        -2139.771573        -0.204193      0.01           -0.604231      YES
114    196    310    0.039359            -2147.577147        -2147.537788        0.124421       0.01           -0.269026      YES
114    264    378    0.18456             -2257.35653         -2257.17197         -0.00545       0.01           -0.39944       YES
114    266    380    0.148191            -2254.660739        -2254.512548        0.050845       0.01           -0.336396      YES
114    268    382    0.517043            -2252.935825        -2252.418782        -0.22119       0.01           -0.600043      YES
114    270    384    0.614121            -2251.342556        -2250.728435        -0.227568      0.01           -0.598027      YES
114    272    386    0.939989            -2253.446374        -2252.506385        0.324578       0.01           -0.042867      YES
114    274    388    1.103119            -2252.116069        -2251.01295         0.319673       0.01           -0.039406      YES
114    284    398    0.050627            -2240.848063        -2240.797436        0.20159        0.01           -0.044373      YES
114    286    400    0.206774            -2238.91724         -2238.710466        0.202258       0.01           -0.043526      YES
114    288    402    0.385559            -2236.881334        -2236.495775        0.203621       0.01           -0.042399      YES
114    290    404    0.567146            -2234.685146        -2234.118           0.204145       0.01           -0.041273      YES
114    292    406    0.723672            -2232.249336        -2231.525664        0.203741       0.01           -0.040349      YES
114    296    410    0.826184            -2226.338259        -2225.512075        0.201417       0.01           -0.039472      YES
116    160    276    0.086906            -1947.712619        -1947.625713        0.203329       0.01           -0.012153      YES
116    190    306    0.072281            -2134.76194         -2134.689659        0.043524       0.01           -0.398274      YES
116    192    308    0.018383            -2142.918568        -2142.900185        -0.12287       0.01           -0.551145      YES
116    194    310    0.195717            -2151.255155        -2151.059438        -0.201826      0.01           -0.617788      YES
